user_id,user_type,startup_stage,startup_industry,project_need,tech_requirement,project_deadline,expertise_area,industry_preference,preferred_project_type,core_skill,availability
F001,Founder,Ideation,SaaS,Digital Marketing,AWS,1 Month,N/A,N/A,N/A,N/A,N/A
F002,Founder,Ideation,FinTech,Pitch Deck Design,React,2 Months,N/A,N/A,N/A,N/A,N/A
F003,Founder,Scaling,SaaS,Pitch Deck Design,GST Filing,1 Month,N/A,N/A,N/A,N/A,N/A
F004,Founder,Early Growth,SaaS,Fundraising Support,React,2 Weeks,N/A,N/A,N/A,N/A,N/A
F005,Founder,Early Growth,HealthTech,Fundraising Support,Python,2 Months,N/A,N/A,N/A,N/A,N/A
F006,Founder,Early Growth,FinTech,Digital Marketing,Copywriting,1 Month,N/A,N/A,N/A,N/A,N/A
F007,Founder,Ideation,HealthTech,UI/UX Revamp,Copywriting,1 Week,N/A,N/A,N/A,N/A,N/A
F008,Founder,Ideation,HealthTech,MVP Development,GST Filing,1 Week,N/A,N/A,N/A,N/A,N/A
F009,Founder,Early Growth,AgriTech,Digital Marketing,SEO,1 Week,N/A,N/A,N/A,N/A,N/A
F010,Founder,Early Growth,E-Commerce,Pitch Deck Design,Figma,2 Months,N/A,N/A,N/A,N/A,N/A
F011,Founder,Early Growth,EdTech,Digital Marketing,React,1 Week,N/A,N/A,N/A,N/A,N/A
F012,Founder,Validation,E-Commerce,Fundraising Support,Python,1 Month,N/A,N/A,N/A,N/A,N/A
F013,Founder,Validation,AgriTech,UI/UX Revamp,React,1 Week,N/A,N/A,N/A,N/A,N/A
F014,Founder,Validation,HealthTech,Digital Marketing,SEO,1 Week,N/A,N/A,N/A,N/A,N/A
F015,Founder,Early Growth,E-Commerce,Fundraising Support,Copywriting,2 Weeks,N/A,N/A,N/A,N/A,N/A
F016,Founder,Ideation,HealthTech,Pitch Deck Design,Python,1 Week,N/A,N/A,N/A,N/A,N/A
F017,Founder,Ideation,FinTech,Pitch Deck Design,AWS,2 Weeks,N/A,N/A,N/A,N/A,N/A
F018,Founder,Validation,SaaS,MVP Development,Copywriting,2 Months,N/A,N/A,N/A,N/A,N/A
F019,Founder,Ideation,SaaS,UI/UX Revamp,Figma,1 Month,N/A,N/A,N/A,N/A,N/A
F020,Founder,Early Growth,EdTech,Digital Marketing,Python,1 Week,N/A,N/A,N/A,N/A,N/A
