Founder ID,Provider ID,Score,Reason
F001,S008,80.0,"industry:matched, skill:matched, project:similar_0, timeline:matched"
F001,S015,80.0,"industry:matched, skill:matched, project:similar_0, timeline:matched"
F001,S021,80.0,"industry:matched, skill:matched, project:similar_0, timeline:matched"
F001,S034,70.0,"industry:not_matched, skill:matched, project:matched, timeline:matched"
F001,S009,60.0,"industry:matched, skill:matched, project:similar_0, timeline:not_matched"
F001,S011,50.0,"industry:matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S022,50.0,"industry:matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S024,50.0,"industry:not_matched, skill:matched, project:similar_0, timeline:matched"
F001,S033,50.0,"industry:not_matched, skill:matched, project:similar_0, timeline:matched"
F001,S035,50.0,"industry:matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S044,50.0,"industry:matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S047,50.0,"industry:matched, skill:similar_0, project:matched, timeline:not_matched"
F001,S048,50.0,"industry:matched, skill:similar_0, project:matched, timeline:not_matched"
F001,S023,40.0,"industry:not_matched, skill:similar_0, project:matched, timeline:matched"
F001,S040,30.0,"industry:not_matched, skill:matched, project:similar_0, timeline:not_matched"
F001,S001,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S002,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S003,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S004,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S006,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S010,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S014,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S016,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S017,20.0,"industry:not_matched, skill:similar_0, project:matched, timeline:not_matched"
F001,S029,20.0,"industry:not_matched, skill:similar_0, project:matched, timeline:not_matched"
F001,S030,20.0,"industry:not_matched, skill:similar_0, project:matched, timeline:not_matched"
F001,S031,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S037,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S039,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S043,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S045,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S046,20.0,"industry:not_matched, skill:similar_0, project:matched, timeline:not_matched"
F001,S050,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
F001,S005,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S007,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S012,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S013,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S018,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S019,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S020,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S025,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S026,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S027,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S028,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S032,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S036,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S038,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S041,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S042,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F001,S049,0.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:not_matched"
F002,S016,100.0,"industry:matched, skill:matched, project:matched, timeline:matched"
F002,S006,70.0,"industry:not_matched, skill:matched, project:matched, timeline:matched"
F002,S040,70.0,"industry:matched, skill:similar_0, project:matched, timeline:matched"
F002,S002,50.0,"industry:matched, skill:similar_0, project:similar_0, timeline:matched"
F002,S020,50.0,"industry:not_matched, skill:matched, project:similar_0, timeline:matched"
F002,S022,50.0,"industry:not_matched, skill:matched, project:similar_0, timeline:matched"
F002,S023,50.0,"industry:not_matched, skill:matched, project:similar_0, timeline:matched"
F002,S026,50.0,"industry:not_matched, skill:matched, project:similar_0, timeline:matched"
F002,S027,50.0,"industry:matched, skill:similar_0, project:similar_0, timeline:matched"
F002,S029,50.0,"industry:matched, skill:similar_0, project:similar_0, timeline:matched"
F002,S031,50.0,"industry:matched, skill:similar_0, project:similar_0, timeline:matched"
F002,S032,50.0,"industry:matched, skill:similar_0, project:similar_0, timeline:matched"
F002,S036,50.0,"industry:matched, skill:similar_0, project:similar_0, timeline:matched"
F002,S039,50.0,"industry:matched, skill:similar_0, project:similar_0, timeline:matched"
F002,S049,50.0,"industry:not_matched, skill:matched, project:similar_0, timeline:matched"
F002,S015,40.0,"industry:not_matched, skill:similar_0, project:matched, timeline:matched"
F002,S025,40.0,"industry:not_matched, skill:similar_0, project:matched, timeline:matched"
F002,S028,40.0,"industry:not_matched, skill:similar_0, project:matched, timeline:matched"
F002,S042,40.0,"industry:not_matched, skill:similar_0, project:matched, timeline:matched"
F002,S001,20.0,"industry:not_matched, skill:similar_0, project:similar_0, timeline:matched"
